大境界,阶段,关卡,敌人类型,敌人名称,玩家气血,玩家总攻击,玩家总防御,玩家总速度,敌人气血,敌人基础伤害,敌人行动CD,单核推荐,单核结果,单核战斗秒数,单核剩余气血,单核难度,三神通结果,三神通战斗秒数,三神通剩余气血,三神通难度
炼气,初期,野狼谷外围,普通怪,灰鬃狼妖,386,116,58,80,120,37,1.68,归元指,胜,0.0,386,轻松,胜,0.0,386,轻松
炼气,初期,野狼谷外围,小Boss,铜爪狼将,386,116,58,80,234,59,1.52,归元指,胜,1.82,225,合理,胜,1.82,225,合理
炼气,初期,野狼谷外围,大Boss,噬月狼王,386,116,58,80,378,83,1.42,归元指,负,4.26,0,困难,胜,2.74,140,吃力
炼气,中期,野狼谷中心,普通怪,裂齿狼妖,492,132,66,80,160,50,1.66,归元指,胜,1.82,383,轻松,胜,0.91,442,轻松
炼气,中期,野狼谷中心,小Boss,啸风狼将,492,132,66,80,312,78,1.5,归元指,胜,3.65,181,合理,胜,2.74,279,合理
炼气,中期,野狼谷中心,大Boss,噬月狼王,492,132,66,80,504,110,1.4,归元指,负,4.2,0,困难,负,4.2,0,困难
炼气,后期,野狼谷深处,普通怪,血鬃狼妖,598,148,74,80,200,62,1.64,归元指,胜,1.82,463,轻松,胜,1.82,463,轻松
炼气,后期,野狼谷深处,小Boss,赤瞳狼将,598,148,74,80,390,98,1.48,归元指,胜,5.47,64,吃力,胜,3.65,209,合理
炼气,后期,野狼谷深处,大Boss,噬月狼王,598,148,74,80,630,138,1.38,归元指,负,4.14,0,困难,负,4.14,0,困难
筑基,初期,青云剑墟,普通怪,残剑灵,447,132,66,80,200,62,1.65,破甲掌,胜,2.74,308,合理,胜,0.91,384,轻松
筑基,初期,青云剑墟,小Boss,断岳剑侍,447,132,66,80,390,98,1.49,破甲掌,负,4.47,0,困难,胜,2.74,171,合理
筑基,初期,青云剑墟,大Boss,断岳剑主,447,132,66,80,630,138,1.39,破甲掌,负,2.78,0,困难,负,2.78,0,困难
筑基,中期,剑阁回廊,普通怪,回廊剑魂,614,164,82,80,240,74,1.63,破甲掌,胜,2.74,449,轻松,胜,0.91,539,轻松
筑基,中期,剑阁回廊,小Boss,锁廊剑将,614,164,82,80,468,118,1.47,破甲掌,负,4.41,0,困难,胜,2.74,282,合理
筑基,中期,剑阁回廊,大Boss,断岳剑主,614,164,82,80,756,166,1.37,破甲掌,负,2.74,0,困难,负,2.74,0,困难
筑基,后期,万剑峰,普通怪,裂锋剑魄,781,196,98,80,280,87,1.61,破甲掌,胜,2.74,586,轻松,胜,1.82,586,轻松
筑基,后期,万剑峰,小Boss,埋锋剑侯,781,196,98,80,546,137,1.45,破甲掌,负,5.8,0,困难,胜,3.65,217,吃力
筑基,后期,万剑峰,大Boss,断岳剑主,781,196,98,80,882,193,1.35,破甲掌,负,4.05,0,困难,负,4.05,0,困难
结丹,初期,火云洞口,普通怪,炽骨魔,546,164,82,80,280,87,1.62,破甲掌,胜,2.74,348,合理,胜,1.82,348,合理
结丹,初期,火云洞口,小Boss,焚血魔将,546,164,82,80,546,137,1.46,破甲掌,负,2.92,0,困难,负,2.92,0,困难
结丹,初期,火云洞口,大Boss,熔心魔君,546,164,82,80,882,193,1.36,破甲掌,负,1.36,0,困难,负,1.36,0,困难
结丹,中期,熔火回廊,普通怪,熔火魔躯,813,228,114,80,320,99,1.6,破甲掌,胜,5.47,361,合理,胜,1.82,587,轻松
结丹,中期,熔火回廊,小Boss,熔炉魔尉,813,228,114,80,624,157,1.44,破甲掌,负,4.32,0,困难,负,4.32,0,困难
结丹,中期,熔火回廊,大Boss,熔心魔君,813,228,114,80,1008,221,1.34,破甲掌,负,2.68,0,困难,负,2.68,0,困难
结丹,后期,魔渊入口,普通怪,灼心炎魔,1079,292,146,80,360,112,1.58,破甲掌,胜,5.47,569,合理,胜,2.74,824,轻松
结丹,后期,魔渊入口,小Boss,渊火魔将,1079,292,146,80,702,176,1.42,破甲掌,负,5.68,0,困难,胜,4.56,69,吃力
结丹,后期,魔渊入口,大Boss,熔心魔君,1079,292,146,80,1134,248,1.32,破甲掌,负,3.96,0,困难,负,3.96,0,困难
元婴,初期,冰魄渊口,普通怪,霜牙雪魈,711,228,114,80,360,112,1.59,破妄斩,胜,5.47,193,吃力,胜,1.82,452,合理
元婴,初期,冰魄渊口,小Boss,寒魄魈将,711,228,114,80,702,176,1.43,破妄斩,负,2.86,0,困难,负,2.86,0,困难
元婴,初期,冰魄渊口,大Boss,寒魄雪主,711,228,114,80,1134,248,1.33,破妄斩,负,1.33,0,困难,负,1.33,0,困难
