大境界,阶段,境界索引,小境界分钟,单重XP需求,小境界XP需求,atkBonus,defBonus,hpBonus,totalAtk,totalDef,totalSpd,maxHp,推荐单核神通,单核命中伤害,单核技能CD,推荐三神通
炼气,初期,0,10,1.67,16.67,16,8,90,116,58,80,386,归元指,120,1.8,归元指 / 清心诀
炼气,中期,1,12,2.0,20.0,32,16,180,132,66,80,492,归元指,120,1.8,归元指 / 清心诀
炼气,后期,2,15,2.5,25.0,48,24,270,148,74,80,598,归元指,120,1.8,归元指 / 清心诀
筑基,初期,3,13,2.17,21.67,32,16,135,132,66,80,447,破甲掌,140,2.0,破甲掌 / 归元指 / 清心诀
筑基,中期,4,15,2.5,25.0,64,32,270,164,82,80,614,破甲掌,140,2.0,破甲掌 / 归元指 / 清心诀
筑基,后期,5,19,3.17,31.67,96,48,405,196,98,80,781,破甲掌,140,2.0,破甲掌 / 归元指 / 清心诀
结丹,初期,6,16,2.67,26.67,64,32,202,164,82,80,546,破甲掌,140,2.0,破甲掌 / 归元指 / 焚心焰
结丹,中期,7,20,3.33,33.33,128,64,405,228,114,80,813,破甲掌,140,2.0,破甲掌 / 归元指 / 焚心焰
结丹,后期,8,25,4.17,41.67,192,96,607,292,146,80,1079,破甲掌,140,2.0,破甲掌 / 归元指 / 焚心焰
元婴,初期,9,21,3.5,35.0,128,64,303,228,114,80,711,破妄斩,170,2.2,破妄斩 / 破甲掌 / 归元指
元婴,中期,10,25,4.17,41.67,256,128,607,356,178,80,1143,破妄斩,170,2.2,破妄斩 / 破甲掌 / 归元指
元婴,后期,11,31,5.17,51.67,384,192,911,484,242,80,1575,破妄斩,170,2.2,破妄斩 / 破甲掌 / 归元指
化神,初期,12,27,4.5,45.0,256,128,455,356,178,80,991,玄雷诀,200,2.4,玄雷诀 / 破妄斩 / 破甲掌
化神,中期,13,32,5.33,53.33,512,256,911,612,306,80,1703,玄雷诀,200,2.4,玄雷诀 / 破妄斩 / 破甲掌
化神,后期,14,40,6.67,66.67,768,384,1366,868,434,80,2414,玄雷诀,200,2.4,玄雷诀 / 破妄斩 / 破甲掌
炼虚,初期,15,34,5.67,56.67,512,256,683,612,306,80,1475,寂灭印,229,2.6,寂灭印 / 玄雷诀 / 破妄斩
炼虚,中期,16,41,6.83,68.33,1024,512,1366,1124,562,80,2670,寂灭印,229,2.6,寂灭印 / 玄雷诀 / 破妄斩
炼虚,后期,17,52,8.67,86.67,1536,768,2050,1636,818,80,3866,寂灭印,229,2.6,寂灭印 / 玄雷诀 / 破妄斩
合体,初期,18,44,7.33,73.33,1024,512,1025,1124,562,80,2329,九霄雷狱,250,2.8,九霄雷狱 / 寂灭印 / 玄雷诀
合体,中期,19,53,8.83,88.33,2048,1024,2050,2148,1074,80,4378,九霄雷狱,250,2.8,九霄雷狱 / 寂灭印 / 玄雷诀
合体,后期,20,66,11.0,110.0,3072,1536,3075,3172,1586,80,6427,九霄雷狱,250,2.8,九霄雷狱 / 寂灭印 / 玄雷诀
大乘,初期,21,56,9.33,93.33,2048,1024,1537,2148,1074,80,3865,万劫斩,270,3.0,万劫斩 / 九霄雷狱 / 寂灭印
大乘,中期,22,68,11.33,113.33,4096,2048,3075,4196,2098,80,7451,万劫斩,270,3.0,万劫斩 / 九霄雷狱 / 寂灭印
大乘,后期,23,84,14.0,140.0,6144,3072,4613,6244,3122,80,11037,万劫斩,270,3.0,万劫斩 / 九霄雷狱 / 寂灭印
渡劫,初期,24,72,12.0,120.0,4096,2048,2306,4196,2098,80,6682,万劫斩,270,3.0,万劫斩 / 九霄雷狱 / 寂灭印
渡劫,中期,25,86,14.33,143.33,8192,4096,4613,8292,4146,80,13085,万劫斩,270,3.0,万劫斩 / 九霄雷狱 / 寂灭印
渡劫,后期,26,108,18.0,180.0,12288,6144,6919,12388,6194,80,19487,万劫斩,270,3.0,万劫斩 / 九霄雷狱 / 寂灭印
真仙,初期,27,92,15.33,153.33,8192,4096,3459,8292,4146,80,11931,仙意破军,300,3.2,仙意破军 / 万劫斩 / 九霄雷狱
真仙,中期,28,111,18.5,185.0,16384,8192,6919,16484,8242,80,23583,仙意破军,300,3.2,仙意破军 / 万劫斩 / 九霄雷狱
真仙,后期,29,138,23.0,230.0,24576,12288,10379,24676,12338,80,35235,仙意破军,300,3.2,仙意破军 / 万劫斩 / 九霄雷狱
金仙,初期,30,118,19.67,196.67,16384,8192,5189,16484,8242,80,21853,金阙斩,320,3.3,金阙斩 / 仙意破军 / 万劫斩
金仙,中期,31,142,23.67,236.67,32768,16384,10379,32868,16434,80,43427,金阙斩,320,3.3,金阙斩 / 仙意破军 / 万劫斩
金仙,后期,32,177,29.5,295.0,49152,24576,15569,49252,24626,80,65001,金阙斩,320,3.3,金阙斩 / 仙意破军 / 万劫斩
太乙,初期,33,151,25.17,251.67,32768,16384,7784,32868,16434,80,40832,太乙诛邪,340,3.4,太乙诛邪 / 金阙斩 / 仙意破军
太乙,中期,34,181,30.17,301.67,65536,32768,15569,65636,32818,80,81385,太乙诛邪,340,3.4,太乙诛邪 / 金阙斩 / 仙意破军
