level,displayLevel,大境界,阶段,重数,显示文案,备注
1,1级,炼气,炼气,1重,炼气1重,人物等级外显与修仙等级映射真源
2,2级,炼气,炼气,2重,炼气2重,人物等级外显与修仙等级映射真源
3,3级,炼气,炼气,3重,炼气3重,人物等级外显与修仙等级映射真源
4,4级,炼气,炼气,4重,炼气4重,人物等级外显与修仙等级映射真源
5,5级,炼气,炼气,5重,炼气5重,人物等级外显与修仙等级映射真源
6,6级,炼气,炼气,6重,炼气6重,人物等级外显与修仙等级映射真源
7,7级,炼气,炼气,7重,炼气7重,人物等级外显与修仙等级映射真源
8,8级,炼气,炼气,8重,炼气8重,人物等级外显与修仙等级映射真源
9,9级,炼气,炼气,9重,炼气9重,人物等级外显与修仙等级映射真源
10,10级,炼气,炼气,10重,炼气10重,人物等级外显与修仙等级映射真源
11,11级,筑基,筑基初期,1重,筑基初期1重,人物等级外显与修仙等级映射真源
12,12级,筑基,筑基初期,2重,筑基初期2重,人物等级外显与修仙等级映射真源
13,13级,筑基,筑基初期,3重,筑基初期3重,人物等级外显与修仙等级映射真源
14,14级,筑基,筑基初期,4重,筑基初期4重,人物等级外显与修仙等级映射真源
15,15级,筑基,筑基初期,5重,筑基初期5重,人物等级外显与修仙等级映射真源
16,16级,筑基,筑基初期,6重,筑基初期6重,人物等级外显与修仙等级映射真源
17,17级,筑基,筑基初期,7重,筑基初期7重,人物等级外显与修仙等级映射真源
18,18级,筑基,筑基初期,8重,筑基初期8重,人物等级外显与修仙等级映射真源
19,19级,筑基,筑基初期,9重,筑基初期9重,人物等级外显与修仙等级映射真源
20,20级,筑基,筑基初期,10重,筑基初期10重,人物等级外显与修仙等级映射真源
