dropGroupId,stageId,triggerNode,rewardSlot1Type,rewardSlot1Id,rewardSlot1Min,rewardSlot1Max,rewardSlot2Type,rewardSlot2Id,rewardSlot2Min,rewardSlot2Max,rewardSlot2Chance,rewardSlot3Type,rewardSlot3Id,rewardSlot3Min,rewardSlot3Max,rewardSlot3Chance,writebackRule,notes
drop_lq_early_01_normal,LQ_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,6,10,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_lq_early_01_elite_base,LQ_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,19,27,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_lq_early_01_elite_1,LQ_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,19,27,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_lq_early_01_elite_2,LQ_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,30,43,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_lq_early_01_boss_clear,LQ_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,63,90,item,break_dan_0,0,1,0.55,item,break_mat_0,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_lq_mid_01_normal,LQ_MID_01,normal_clear,currency_spirit_stone,spirit_stone,7,11,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_lq_mid_01_elite_base,LQ_MID_01,elite_base,currency_spirit_stone,spirit_stone,23,31,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_lq_mid_01_elite_1,LQ_MID_01,elite_1_clear,currency_spirit_stone,spirit_stone,23,31,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_lq_mid_01_elite_2,LQ_MID_01,elite_2_clear,currency_spirit_stone,spirit_stone,35,50,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_lq_mid_01_boss_clear,LQ_MID_01,boss_clear,currency_spirit_stone,spirit_stone,73,105,item,break_dan_0,0,1,0.55,item,break_mat_0,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_lq_late_01_normal,LQ_LATE_01,normal_clear,currency_spirit_stone,spirit_stone,8,13,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_lq_late_01_elite_base,LQ_LATE_01,elite_base,currency_spirit_stone,spirit_stone,26,36,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_lq_late_01_elite_1,LQ_LATE_01,elite_1_clear,currency_spirit_stone,spirit_stone,26,36,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_lq_late_01_elite_2,LQ_LATE_01,elite_2_clear,currency_spirit_stone,spirit_stone,40,57,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_lq_late_01_boss_clear,LQ_LATE_01,boss_clear,currency_spirit_stone,spirit_stone,84,120,item,break_dan_0,0,1,0.55,item,break_mat_0,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_zj_early_01_normal,ZJ_EARLY_01,normal_clear,currency_spirit_stone,spirit_stone,9,14,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
drop_zj_early_01_elite_base,ZJ_EARLY_01,elite_base,currency_spirit_stone,spirit_stone,29,40,item,huiling,0,1,0.30,,,,,,作为精英模板继承默认掉落，仅用于战场精英模板回链。,不直接在主流程显示，供精英继承。
drop_zj_early_01_elite_1,ZJ_EARLY_01,elite_1_clear,currency_spirit_stone,spirit_stone,29,40,item,huiling,0,1,0.35,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第一精英清场奖励。
drop_zj_early_01_elite_2,ZJ_EARLY_01,elite_2_clear,currency_spirit_stone,spirit_stone,45,64,item,teleport,0,1,0.18,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,第二精英清场奖励。
drop_zj_early_01_boss_clear,ZJ_EARLY_01,boss_clear,currency_spirit_stone,spirit_stone,94,135,item,break_dan_1,0,1,0.55,item,break_mat_1,1,2,1.0,先进入runBag，在 settle_commit 中统一写入纳戒；不允许首领死亡同帧直接写回永久库存。,首领首通/清场奖励主包。
drop_zj_mid_01_normal,ZJ_MID_01,normal_clear,currency_spirit_stone,spirit_stone,10,16,,,,,,,,,,,进入runBag，通关或成功撤离后写入纳戒；死亡或认命离开丢失。,普通敌潮基础掉落。
