大境界,阶段,敌人类型,目标战斗秒数,目标玩家损血比例,建议敌人气血,建议敌人基础伤害,建议敌人行动CD,建议敌人隐藏防御,建议敌人煞气
炼气,初期,普通怪,3.2,0.12,550,23,1.56,26,0
炼气,初期,小Boss,6.4,0.3,1100,26,1.42,36,0
炼气,初期,大Boss,10.2,0.52,1753,26,1.3,46,0
炼气,中期,普通怪,3.2,0.12,579,25,1.54,28,0
炼气,中期,小Boss,6.4,0.3,1157,28,1.4,38,0
炼气,中期,大Boss,10.2,0.52,1844,28,1.29,48,0
炼气,后期,普通怪,3.2,0.12,607,27,1.52,30,0
炼气,后期,小Boss,6.4,0.3,1215,30,1.38,40,0
炼气,后期,大Boss,10.2,0.52,1936,30,1.27,51,0
筑基,初期,普通怪,3.2,0.12,926,25,1.55,28,0
筑基,初期,小Boss,6.4,0.3,1852,28,1.41,38,0
筑基,初期,大Boss,10.2,0.52,2952,28,1.29,48,0
筑基,中期,普通怪,3.2,0.12,976,27,1.53,30,0
筑基,中期,小Boss,6.4,0.3,1952,31,1.39,41,0
筑基,中期,大Boss,10.2,0.52,3111,31,1.27,52,2
筑基,后期,普通怪,3.2,0.12,1042,31,1.51,32,0
筑基,后期,小Boss,6.4,0.3,2083,35,1.37,44,0
筑基,后期,大Boss,10.2,0.52,3321,35,1.26,56,4
结丹,初期,普通怪,3.2,0.12,1026,28,1.53,30,0
结丹,初期,小Boss,6.4,0.3,2053,32,1.39,41,2
结丹,初期,大Boss,10.2,0.52,3271,32,1.28,52,4
结丹,中期,普通怪,3.2,0.12,1105,32,1.51,33,0
结丹,中期,小Boss,6.4,0.3,2210,36,1.37,45,2
结丹,中期,大Boss,10.2,0.52,3523,36,1.26,57,6
结丹,后期,普通怪,3.2,0.12,1199,36,1.49,36,0
结丹,后期,小Boss,6.4,0.3,2398,41,1.35,49,2
结丹,后期,大Boss,10.2,0.52,3822,41,1.25,62,8
元婴,初期,普通怪,3.2,0.12,1206,33,1.52,33,0
元婴,初期,小Boss,6.4,0.3,2412,37,1.38,45,4
元婴,初期,大Boss,10.2,0.52,3843,37,1.26,57,8
元婴,中期,普通怪,3.2,0.12,1321,37,1.5,37,0
元婴,中期,小Boss,6.4,0.3,2642,43,1.36,50,4
元婴,中期,大Boss,10.2,0.52,4210,43,1.25,63,10
元婴,后期,普通怪,3.2,0.12,1453,43,1.48,41,0
元婴,后期,小Boss,6.4,0.3,2906,49,1.34,56,4
元婴,后期,大Boss,10.2,0.52,4632,49,1.23,71,12
化神,初期,普通怪,3.2,0.12,1423,39,1.5,37,0
化神,初期,小Boss,6.4,0.3,2847,44,1.37,50,6
化神,初期,大Boss,10.2,0.52,4537,44,1.25,63,12
化神,中期,普通怪,3.2,0.12,1595,45,1.48,42,0
化神,中期,小Boss,6.4,0.3,3191,52,1.35,57,6
化神,中期,大Boss,10.2,0.52,5085,52,1.24,72,14
化神,后期,普通怪,3.2,0.12,1781,54,1.46,48,0
化神,后期,小Boss,6.4,0.3,3562,61,1.33,65,6
化神,后期,大Boss,10.2,0.52,5677,61,1.22,82,16
炼虚,初期,普通怪,3.2,0.12,1723,47,1.49,42,0
炼虚,初期,小Boss,6.4,0.3,3447,54,1.35,57,8
炼虚,初期,大Boss,10.2,0.52,5493,54,1.24,72,16
炼虚,中期,普通怪,3.2,0.12,1961,56,1.47,49,0
炼虚,中期,小Boss,6.4,0.3,3922,64,1.33,66,8
炼虚,中期,大Boss,10.2,0.52,6251,64,1.23,84,18
炼虚,后期,普通怪,3.2,0.12,2238,68,1.45,57,0
炼虚,后期,小Boss,6.4,0.3,4477,77,1.31,77,8
炼虚,后期,大Boss,10.2,0.52,7135,77,1.21,98,20
合体,初期,普通怪,3.2,0.12,2056,59,1.47,49,0
合体,初期,小Boss,6.4,0.3,4111,67,1.34,66,10
合体,初期,大Boss,10.2,0.52,6552,67,1.23,84,20
合体,中期,普通怪,3.2,0.12,2394,72,1.45,58,0
合体,中期,小Boss,6.4,0.3,4787,82,1.32,79,10
合体,中期,大Boss,10.2,0.52,7630,82,1.21,100,22
合体,后期,普通怪,3.2,0.12,2790,87,1.43,69,0
合体,后期,小Boss,6.4,0.3,5580,99,1.3,94,10
合体,后期,大Boss,10.2,0.52,8893,99,1.2,119,24
大乘,初期,普通怪,3.2,0.12,2455,75,1.46,58,0
大乘,初期,小Boss,6.4,0.3,4910,86,1.33,79,12
大乘,初期,大Boss,10.2,0.52,7826,85,1.22,100,24
大乘,中期,普通怪,3.2,0.12,2934,93,1.44,71,0
大乘,中期,小Boss,6.4,0.3,5869,106,1.31,96,12
大乘,中期,大Boss,10.2,0.52,9354,106,1.2,122,26
大乘,后期,普通怪,3.2,0.12,3474,114,1.42,85,0
大乘,后期,小Boss,6.4,0.3,6948,130,1.29,116,12
大乘,后期,大Boss,10.2,0.52,11073,130,1.19,147,28
渡劫,初期,普通怪,3.2,0.12,2934,97,1.44,71,0
渡劫,初期,小Boss,6.4,0.3,5869,111,1.32,96,14
渡劫,初期,大Boss,10.2,0.52,9354,111,1.2,122,28
渡劫,中期,普通怪,3.2,0.12,3571,122,1.42,88,0
渡劫,中期,小Boss,6.4,0.3,7141,139,1.3,119,14
渡劫,中期,大Boss,10.2,0.52,11381,139,1.19,151,30
渡劫,后期,普通怪,3.2,0.12,4304,152,1.4,107,0
渡劫,后期,小Boss,6.4,0.3,8608,173,1.28,146,14
渡劫,后期,大Boss,10.2,0.52,13719,173,1.17,185,32
真仙,初期,普通怪,3.2,0.12,3642,128,1.43,88,0
真仙,初期,小Boss,6.4,0.3,7283,147,1.3,119,16
真仙,初期,大Boss,10.2,0.52,11608,146,1.19,151,32
真仙,中期,普通怪,3.2,0.12,4521,162,1.41,110,0
真仙,中期,小Boss,6.4,0.3,9042,185,1.28,151,16
真仙,中期,大Boss,10.2,0.52,14411,184,1.18,191,34
真仙,后期,普通怪,3.2,0.12,5536,203,1.39,137,0
真仙,后期,小Boss,6.4,0.3,11072,231,1.26,186,16
真仙,后期,大Boss,10.2,0.52,17646,232,1.16,236,36
金仙,初期,普通怪,3.2,0.12,4648,171,1.41,110,0
